Yazar,Ay,Sene,Baslik,Paragraf
Ali Iskefli,1,2024,TFF tepkilerden geçiniyor,"Ligin ilk yarısını tamamladık, fakat bu koşullarda sonunu getiremeyeceğimiz görünüyor. Zaten ikinci yarılarda düşme, şampiyonluk hedeflerine kalan süre azaldıkça her sezon sonu olduğu gibi ligimiz daha da kızışacak. Aralık ayında Ankaragücü maçında hakeme saldırı sonrası zanlının alkışlarla kahraman edasıyla salıverilmesi, bu tip olaylar için ne kadar caydırıcılık taşıyor? Aylarca TFF yetkililerine dertlerini anlatamayan İstanbulspor sahadan çekildi, hükmen mağlubiyet ve üç puan silme ile olayın üstü kapandı. Peki İstanbul ve onunla aynı sıkıntıları yaşayan kulüpleri derdine bakıldı mı? Çözüm arandı mı, ne gezer! Aralık ayı 3. bombası Suudi Arabistan’da yaşandı.
TFF sırf para kazanmak ve Suudi Arabistan’ın, Katar’ı örnek alarak futbol üzerinden dünyaya yapmak istediği açılıma öncü destek olarak, Cumhuriyetimizin 100. yılında Süper Kupa’yı Riyad’a taşıdı. Suudilerin Atatürk’ün anılmasına izin vermemesi üzerine kulüplerimiz apar topar ülkemize döndü. Ne hikmetse üçlü bildirinin sonunda ev sahibi ülkeye teşekkür edildi. Suudilerin baştan sona bu çirkin tavrına teşekkürün nedenini de anladık ama bilin ki içimize sindiremedik.
Bu TFF’nin her şeyi para olmuş. Profesyonel Futbol Disiplin Kurulu’nun 28.12.2023 tarih ve 39 sayılı toplantısında almış olduğu karara bakın. Neredeyse tamamı taraftar tepkisi ve hakem hakkındaki açıklamalar için olan para cezaları... Sadece üçü yöneticiye olmak üzere 24 kalemde toplam 2.591.700 TL! Ne kadar çok tepki o kadar çok para, hayırlı işler..."
Ali Iskefli,2,2024,12. adam tribünlere,"Şampiyonlar Ligi kotasının dolduğu ligimizde üçüncülük Avrupa Ligi’ne katılmak demek. Bu hedefe ulaşılamadığında ise gelir değeri en düşük olan Konferans Ligi kalıyor. Şampiyonluk mücadelesinden düşen takımlarını desteklemekten vazgeçen Trabzon’un itici gücü taraftar, tribünlere geri dönmeli!
Trabzonspor’un ilk yarıdaki oyunu oldukça etkiliydi. Bardhi ve Trezeguet’nin işbirliğinde golü de buldu. 0-0’ı iyi oynayan Trabzonspor, ne hikmetse öne geçince geriye yaslanıyor. Bu da ikinci yarıda Adana Demirspor’u etkili hale getirdi. Fakat göbekli Balotelli, “Ben bu takımda fazlayım” dercesine oynayınca gol bulamadılar.
55. dakikada Bardi’nin attığı gol ofsayta takıldı. Grafikli yarı otomatik ofsayt çizgisinde topun ayaktan çıktığı anı tam göremediğimiz için bu karar bana inandırıcı gelmedi. Trabzon bu maçtaki gibi 1-0’a oynamaya devam ederse önümüzdeki maçlarda başı çok ağrıyacak."
Ali Iskefli,2,2024,Doğru yola girdi,"Farklı hedefleri olan iki takımın da ilk yarıdaki hedefleri aynıydı: Gol yememek. Ve bunu da başardılar. Halil Umut Meler 27. dakikada Meunier’in elle oynadığı savıyla penaltı verdi. VAR’ın ‘izle’ önerisi ile kararından döndü. Bu seviyedeki hakemin ezbere penaltı çalması yakışmadı. İptal edilen penaltı Trabzon’u silkelemiş olacak ki ilk yarının sonlarında oyun üstünlüğünü ele aldılar.
İkinci yarıya da kaldığı yerden devam ederek başlayan Trabzon orta sahaya giren Umut Güneş’in ayağa pas yapmasıyla hücum etkinliğini arttırdı. Üst üste kazanılan köşe vuruşları sonunda boşta kalan topu gol yapan Trezeguet takımını öne geçirdi. Üçüncü maçına çıkan Meunier her maç takıma daha çok katkı yapıyor. 80. dakikada yarı sahasından aldığı top sonrasında Enis Destan’a attırdığı kafa golü ders niteliğindeydi. Trabzonspor üst üste 2. galibiyetiyle ilk 3 yarışında doğru yola girdi."
Ali Iskefli,2,2024,Kötü seriyi kırdı,"Süper Lig’de oynadığı son 4 maçı kaybeden Trabzonspor, bu kötü gidişi kırmak için Hatayspor karşısında mücadeleye çok istekli başladı. İlk yarı oyuna hükmettiler. Kaleyi bulan 3 şut ve direkten dönen bir top vardı ancak bir türlü Erce Kardeşler’i geçemediler.
Afrika Kupası’ndan gelen Trezeguet takıma enerji getirdi. İkinci maçı olmasına karşın Meunier hücuma katkı yapan bir bek görüntüsü ile aranan kanın bulunduğunu gösterdi. Santrforda oynayan Enis Destan’ın, tüm çabasına karşın Onuachu’nun yerini fizik ve gol vuruşu olarak dolduramadığı da bir gerçek. Her ne kadar eski gol kralı Umut affedilse de anlaşılan ilk 11’de oynayacak durumda değil.
İkinci yarıya da aynı istekle başlayan Trabzon, Meunier’in asisti, takımın çok çalışan fakat az bal veren arısı Trezeguet’le 49. dakikada golü bulup maçı çözdü. Abdullah Avcı “Bu sene baktığımızda ligde 1 ve 2 ayrıldı. Bu süreçte artık sabır istiyoruz” dedi. Fakat Türkiye Kupası’nda Başakşehir’i geçtikten sonra şampiyonluk için 2 maç kazanması gerekiyor. Bu kısa yollu kalmış hedefi göz ardı etmemeli."
Ali Iskefli,2,2024,Tur sıkıntılı geldi,"Ziraat Türkiye Kupası son 16 turunun kapanış maçında Beşiktaş, Antalyaspor deplasmanında tur aradı. Bu maça kadar kupa klasiği gerçekleşti. Büyük balıklar, küçük balıkları yuttu. Yine öyle olacak sanan Beşiktaşlılar ilk yarıda hayal kırıklığına uğradı. Cenk’in bir şutu dışında Beşiktaş hiç pozisyon üretemedi.
Onur Bulut ve Umut Meraş’ı ilk defa izleyenler bu iki bekin sahada pozisyon  alma ve topla oynamalarını görse futbolcu olduklarından şüphe eder. Kanatların yolgeçen hanına döndüğü ilk yarıyı tek gol yiyerek kapattıklarına şükretseler yeridir. İlk on birde başlayacak Ghezzal’ın son anda sakatlanması ile Cenk’le başlamak oyun planını bozsa da Beşiktaş adına çok kötü bir ilk yarı izledik. İkinci yarıda Santos, Umut ve Rebic’i sahadan alıp Emre Can ve Muleka’yı oyuna alarak Beşiktaş’ın bir kanadını kurtardı. Bu sezon umudu olan tek kupaya da havlu atmak istemeyen Kartal zorlukla Antalya ataklarına karşılık vermeye başladı ve Muleka attığı golle skoru eşitledi. Beşiktaş’ın bu kadrosunda ne geriden ne orta sahadan öne veya araya kilit pas atabilecek bir tek oyuncu olmaması Kartal’ı pozisyon kısırlığına itiyor. Sadece forvet oyuncularının bireysel performansları Beşiktaş’ın skorunu belirliyor. Yine öyle oldu Muleka tek başına girdiği pozisyonda takımını tura taşıdı."
Ali Iskefli,3,2024,İyi dersler Montella!,"EURO 2024 Avrupa Şampiyonası’na hazırlıklarda Macaristan karşısına son grup maçına göre 11’de 9 değişiklikle çıkan Montella, ikinci mücadeleye de 9 oyuncu değişikliği ile çıktı. Milli takımın başında henüz altıncı maçına çıkan hocamız hala ideal 11’ini şekillendirme peşinde. Kadro şekillendirmelerine bakınca orta alan ve hücum hattındaki değişiklikler oyun kurgumuzu etkilemese de defansta birlikte oynamamanın sıkıntılarını bu maçta da yaşadık.
Daha maçın başında topla çıkmak isterken Salih Özcan baskıda topu kaybedince geriye düştük. Hakan Çalhanoğlu yönetimindeki takımımız bundan hiç etkilenmedi ve göze hoş gelen, heyecan veren futbolunu oynamaya devam etti. Hakan defansa yardım etmek zorunda kalmasa daha farklı bir milli takım izleyeceğiz.
İlk yarı gibi ikinci yarının başında da kalemizde gol görünce skor zora düştü. Defanstan topla çıkmak istiyorsak ayağı daha iyi olan kaleci tercihi etmeliyiz. Bu kadar teknik ve yumuşak orta saha ve forvet hattına sert ve sağlam bir 6 numara gerekiyor. Hazırlık maçlarında skordan çok oyun önemlidir ama 6-1’lik yenilgi ‘EURO 2024’teki beklentileri çok mu büyüttük’ dedirtti. Montella ve ekibinin 18 Haziran’daki ilk maça kadar çalışacağı çok ders var!"
Ali Iskefli,3,2024,Hepiniz suçlusunuz,"Belki de gelmiş geçmiş en olaylı futbol sezonunu yaşıyoruz. Maçı izledikten sonra yorumları, sosyal medyayı, demeçleri gördükçe daha da dehşete kapıldım. Futbolun paydaşlarında her kesim kendine göre bir suçlu arama, kendinin olduğu bölümü aklama peşinde. Bu olanlara artık kimse sahip çıkmasın çünkü hepiniz suçlusunuz!
Önce iğneyi kendimize batıralım. Tarafsız basın kaldı mı? Gelelim futbolumuzu yönetenlere... Her kesimin şikayetçi olduğu TFF’yi seçimde kimler onayladı? Kendilerini futbolun devi olarak lanse eden koca koca camialar TFF seçimlerinde bir tek aday bile çıkaramadılar. Tek adayla yapılan onama ile bu yönetimi başa getirmediler mi?
Bu lig doğal bir şekilde mi iki takımla şampiyonluk, iki takımla üçüncülük mücadelesi yapılır hale geldi? 30 haftayı şöyle bir süzsek öyle olmadığı net görülür. Ligin altını hiç sormayın. Filler tepiniyor çimenler eziliyor. Sahanın ortasında futbolcuya saldıran taraftar duruşmada ‘Beni tribünde arkamdan ittiler’ diyerek serbest kalırsa sahada şiddet uygulayan alkışlarla adliyeye girip girdiği gibi çıkarsa bu adli olayların sonu gelmez.
Gergin geçeceği belli olan maça daha bu sezonda bir ilk yaşayıp sahada darp edilmiş hakem atanır mı? Atanırsa defalarca tehir edilme durumuna gelen müsabakayı durduramaz. Oyunu bitirmeye çalışıp ipin ucunu kaçırır ve maç bitince sahayı ilk terk eden olur. Sahanın ortasında haklı sevincini yaşayan Fenerbahçeli oyuncuları, sahaya giren bir kişinin üzerine çullanıp dövmeye başlaması haksız hale getirir.
Bırakın artık futbolumuzu bu işin gerçek emekçileri futbolcular, hakemler ve teknik direktörler yönetsin."
Ali Iskefli,3,2024,Trabzon duvarı yıktı,"Trabzonspor, Karagümrük karşısına geçen haftaya göre iki değişikle çıktı. Sakatlığı nedeniyle Uğurcan’ın yoktu, golleri kaçıran Enis Destan da kesik yedi. Maça hızlı başlayan ev sahibi, 14. dakikada Markao’nun kafasından golü kalesinde gördü. Takımın stoperleri kulübedeyken Mendy yine savunma merkezinde başladı. Bu da defansın hava hakimiyetini düşürmesi yanında orta sahada Berat ve Umut Güneş’in hücuma yeterli oyun aklı katkısı koyamamasına neden oldu. Trabzon’u kanat akınlarına mahkum bıraktı. 
Hücuma çok adamla çıkmayan, erken gol de bulan Karagümrük, ceza sahasının önünde duvar oldu. Trabzon adeta kum torbasına çevirdiği rakibini ilk yarıda Bardhi’nin defansa çarpan topuyla aşabildi. Hücuma çıkmayı düşünmeyen rakip karşısında evinde Trabzon’un gol için farklı varyasyonlar üretmesi gerekiyor. Visca ve Trezegeut’in kenar ortalarına mahkum kalınmamalı. Neyse ki 64. dakikada bir kenar ortasında Biraschi kendi kalesine gol atınca Trabzon öne geçti. Küme düşmeme mücadelesi veren Karagümrük’ü mağlup duruma düşüp biraz ön alan çıktıklarında kalelerinde üst üste goller gördüler. 
Abdullah Avcı’nın sabırlı oyun anlayışı takıma ‘Bol geri ve yan pas yapalım’ olarak yansımış. Alınan farklı galibiyet ise Fenerbahçe maçı öncesi şüphesiz büyük moral oldu."
Ali Iskefli,3,2024,Daha çok isteyen kazandı,"Haftanın kapanış maçında Trabzonspor, Alanyaspor karşısına kupada tur atlamış, ligde üçüncülük mücadelesi verdiği rakibinin yenilmiş olduğu bir ortamda çıktı. Beklendiği gibi bu motivasyonla maça da üçüncü bölgede yaptığı baskı ile başladı. Fakat daha 10 dakika olmadan son haftalarda formsuz görüntü veren Uğurcan’ın sektirdiği topla Alanyaspor öne geçti. Bu dakikadan sonra maç tek kale oyununa döndü. 5 korner, 5 isabetli şut bulan Trabzon topu rakip kaleye atamadı.
İlk yarı hiç korner bile kullanmayan, iki isabetli vuruşu da gol olan Alanya devreyi 2-0 önde tamamladı. Uğurcan kullandığı faul atışını kendi gibi maçta olmayan Denswil’e yuvarladı, boşta bekleyen topu Oğuz Aydın şaşkınlık içinde gol yaptı. Zorunluluk olmadıkça takımını bu 11’le süren Abdullah Avcı ilk değişikliğini 61. dakikada Pepe ile yaptı. Sahada çok fazla kötü gününde olan futbolcusu olunca o da ‘Kimi alsam?’ diye düşündü herhalde! Dakikalar ilerledikçe skora tepki vermesi gereken Trabzonspor’un 90+6’da Pepe ile bulduğu gol sadece tabelayı değiştirdi.
Alanya’nın tamamı Trabzonsporlu olan teknik heyeti dersini iyi çalışmış, göbeği iyi kapatarak topu rakibe bırakıp, kontra atağı tercih ettiler. İkinci yarı oyuncu değişiklikleri ile de takımlarını maç boyunca diri tuttular."
Ali Iskefli,4,2024,İki maç bir kupa,"Kim ne derse desin futbol seyirci ile güzel. Olaylara karışanlar stada zaten alınmıyor, dün akşam statta olan masum seyircilerin ligde cezalandırılmasının anlamı ne?
Abdullah Avcı, Kayseri’de de iyi pas yapan on birini bozmadan kupa mücadelesinde Karagümrük karşısına çıktı. Orta sahada Bardhi ön alanda Fountas ve Pepe’nin olması takımın pas kalitesini de arttırdı. Visca’nın erken gollü ile Trabzon öne geçmesini bildi. Ligde kötü günler yaşayan Karagümrük iyi oyunculara sahip ve gole verdikleri tepki ile beraberliği yakalamasını da bildi. Ancak ilk yarı sonlarında Denswil’le Trabzon tekrardan öne geçti.
Soyunma odasına böyle gitmeyi beklerken, Enis Destan’ın amatörce yumruğu sonrası Trabzon 10 kişi kaldı. İkinci yarıya da Trabzon hızlı başladı iyi oyununu Fountas golle süsledi. Eksik kalmasına karşın bordo-mavililer her maçta yaptığı en iyi şeylerden biri olan çabuk kontratak ve hızlı geri dönmesi ile İstanbul’a avantajlı gitmesini bildi. Sezonu kupa ile kapamanın üç maçlık en kısa yolunda kaldı iki maç.
Vefat eden Eski Gençlik ve Spor Bakanı ve Trabzonspor Onursal Başkanı Mehmet Ali Yılmaz’a Allah’tan rahmet; yakınlarına, sevenlerine ve spor camiasına başsağlığı dileriz."
Ali Iskefli,4,2024,Hasarsız geçti,"Abdullah Avcı, hafta arasındaki Türkiye Kupası yarı finalini de düşünerek ilk 11’de rotasyona gitmiş. Ancak Beşiktaş’ın kazanması, bordo-mavilileri daha da istekli hale getirmiş. Kritik galibiyetle haftayı hasarsız geçti. Küme düşme hattının bir tık üstünde olan Kayseri gol sıkıntısı çeken fakat iyi mücadele eden bir takımdı. Onlar da altlarındaki Konyaspor’un gündüz maçında yenilmesiyle rehavete girmiş gibiydi.
Meunier’e bir parantez açmamız şart. Sağ bek görevini kusursuz yapması yanında oyun kurucu gibi orta sahaya çıkması, kanada indiğinde ise orta yapmayıp adeta pas atması ders niteliğinde. Zaten ilk golün asisti ile oyunu da çözen adam oldu.
VAR var da nereye kadar oyunu kurtaracak? Geri pası atlayan, göremediği pozisyonda ezbere penaltı çalan, kornere aut veren, önündeki ikili mücadelede kimin faul yaptığını çözemeyen hakemlere yabancı VAR ne yapsın!"
