Yazar,Ay,Sene,Baslik,Paragraf
Ali Iskefli,4,2024,Trabzon sahaya dönemedi,"Sessiz başlayan ve sessiz biten bir maç izledik. Fener maçındaki malum olaylar sonrası tüm Trabzon taraftarı cezalandırıldı. Olaylara sebep olanların da çoğu adliye gördü o kadar.
Sporda şiddet yasası çıktı; kişiye özel bilet, stadın her yerini gören kameralar, spor polisi vs... Her şey olay çıkaranları engellemek için düzenlendi. Ne yazık ki hâlâ her olaydan sonra tüm olay çıkaran bölümün bir sonraki maça girmesi engelleniyor ya da böyle tüm taraftara tribün kapanıyor. Kurunun yanında yaş da yanıyor. Son yıllarda maça gelen taraftar sayısı hızla eriyor. Olay çıkaran ve olaya karışanlara ise bir şey olmuyor.
Üçüncülük mücadelesinde rakibine 5 puan fark atan Trabzon’un stressiz rahat bir maç çıkarmasını bekledik. Fakat 5-4-1 düzeni ile sahaya yerleşen Sivas ilk yarı Trabzon’a gol şansı tanımadı. Kapanan takımlar karşısında topu indiren, duvar olabilen santraforu olmaması yanında, orta sahada yaratıcı oyuncu sıkıntısı olan Trabzon; zorlanmaya devam ediyor.
İkinci yarı Umut Bulut gol için sahaya sürülse de 52’nci dakikada gol Sivas’tan geldi. Fountas hücuma katkı için oyuna alınsa da kalabalık arasında o da eridi.
Olaylı maçın etkilerinden kurtulamamış Trabzon itici gücü taraftarı da olmayınca puan kaybetmekten kurtulamadı."
Ali Iskefli,4,2024,Haydi hep birlikte!,"Kulüp başkanları kapı açıldı, çağırın delegeleri, yapın ses getirecek olağanüstü genel kurullarınızı. Önce “Verin yetkiyi görün etkiyi” söylemiyle yetkinizi cebe koyun sonra... Fenerbahçe ve Galatasaray yönetimi seslenin TFF’ye şampiyon olmamız engellenemez yoksa ligden çekiliriz haaa...  Beşiktaş ve Trabzonspor idarecileri siz de geri kalmayın “Zaten bizi zirve yarışından aşağı siz yuvarladınız. Şimdi üçüncülük ve Türkiye Kupası bizim hakkımız,  vallahi çıkarız sizin liginizden” deyiverin!
Hop Karagümrük ve Ankaragüçlüler olarak “Biz de buradayız, sizin anlı şanlı devlerinizi biz eledik. Türkiye Kupası bizim hakkımız. En iyisi kupayı ikiye bölün bizler de kupasız kalmayalım” isteğinizi dillendirin. Hatay, Gaziantep, “Bizim deprem mağduriyetlerimiz giderilemedi Sayın Büyükekşi! Bu yıl küme düşmeyi kabul etmiyoruz” diye kapıya dayanın. İstanbulspor, Pendik ve Karagümrük, “Bizleri İstanbul’un üvey evlatları yapıp büyüklere yem ettiniz. Sizin yüzünüzden düştük bu hallere. Ligde kalmamız engellenemez. Aksi takdirde takımlarımızı ligden çekip kendi ligimiz ve kendi TV platformumuzu kurarız olur biter” deyiverin.
Bu arada futbolumuzu yönetmeye çalışanların kimin sesi ve etkisi çoksa onun yanında olduğunu sakın unutmayın. Bu taktikleri iyi uygularsanız TFF’den mavi boncuk yağar. Buyurun bu sezon da böyle olsun; iki takım şampiyon, iki takımımız üçüncü. Alın dördünüze de çeyrek Ziraat Türkiye Kupası. Nasılsa seneye yaza Avrupa ve Dünya Kupası yok, vakit çok. Kimse ligden düşmüyor kardeş kardeş oynarsınız oldu bitti!"
Ali Iskefli,5,2024,Bu futbol finale yakıştı,"Süper Lig’de beklentilerin çok altında kalan iki büyük için sezonu kupa ile kapayacak teselli finalinin anlamı çok büyüktü. İlk 11’lere baktığımız Abdullah Avcı uzun süredir istikrarını koruduğu kadroyla sahaya çıktı. Serdar Topraktepe ise uzun süredir takımın başında olmasa da çok farklı 11 geleneğini sürdürdü. Beşiktaş’ta 10 numara oynayabilecek iki oyuncu iki kanatta maça çıktı. Böyle olunca da Beşiktaş tek forvet Muleka ile oynamak zorunda kaldı. Trabzon’un en büyük silahı Onuachu için önlem alınmamıştı. İngiliz stoper Worrall ile en azından hava hakimiyetinin kırılmasını bekleyenler yanıldı. Oyuna baskılı başlayan Trabzon oldu. Beşiktaş yarı sahasında bekleyen takımdı. Böyle bir oyun düzeninde kontra topta Onuachu’nun tüm yarı sahayı geçerek 13. dakikada attığı gol ders oldu.
Geriye düşen Beşiktaş kalabalık orta sahası ile yavaş yavaş oyunu ele almaya başladıysa da duran top dışında etkili olamadı. İlk yarının son dakikasında kazanılan penaltı imdada yetişti, soyunma odasına takımlar 1-1 ile gitti.
İkinci yarıda roller değişti. Bu kez ön alan baskısıyla başlayan Beşiktaş oldu ve 54’te Salih’in golüyle de öne geçmesini bildiler. İkinci yarı iki hoca da maçı kazanma hamleleri yaptılar. Son dakikalarda Beşiktaş skoru korumak isteyince maç 2-2’ye geldi. Bu sezon derbilerin şansız adamı Al-Musrati uzatmalarda uzaktan attığı şutla Beşiktaş’a kupayı getiren adam oldu.
İki takımın da ana hedefi olan kupa finalinde ortaya koyduğu mücadele ve futbol taraftarına ‘Daha önce neredeydiniz?’ dedirtti. Beşiktaş şampiyonluğu hak etti."
Ali Iskefli,5,2024,Akıllar kupada,"Trabzonspor 12 yıl sonra Samsun’da Karadeniz derbisine çıktı. Maça ilgi yüksekti, tribünlerin özlenen şekilde dolu olması futbola olumlu yansıdı, fakat az da olsa sahaya yabancı cisimler atanlar vardı.
Sahaya sırtını dönmüş tribünlere bakan güvenlik görevlileri ne işe yarar? Trabzon’a bakınca Onuachu 11’de sahaya döndü fakat bu kez, maçta kenara inip orta yapan kanat oyuncuları sahada yoktu. Denswil yedek beklerken Mendy de orta sahaya çekilince her bölümün ayarları bozulmuş oldu. Bu uyumsuzluk skora yansıdı. Ligdeki üçüncülük mücadelesinde kendini biraz daha rahat hisseden Abdullah Avcı çaktırmadan rotasyona gitmiş. Fakat hesaplanmayan karşılarında evinde en az kaybedenlerden ve küme düşme potasından uzaklaşmak isteyen bir Samsunspor vardı.
Hafta arası kupa finaline uzanma maçına çıkacak olan Trabzonsporlu oyuncuların aklı ordaydı. Abdullah Avcı’nın takımın akordunu bozmasının cezasını ilk yarıda üç gol atan Samsunspor kesti, ikinci yarı değişikleri ile takımı toparlansa da skor lehlerine çeviremediler.
Mucit arkadaşlar sizlerin çizdiği canlı ofsayt çizgilerine bile tam güvenilmiyorken, gecikmeli yaptığınız sanal animasyonları nasıl ciddiye alalım. Abdulkadir Bitigen’den bir öğreti: Üç faul,  bir sarı kart. Tıpkı çocukların üç korner bir penaltı demesi gibi."
Ali Iskefli,6,2024,Kaçınılmaz son,"EURO 2024’teki ilk maçında bir ilk yaşayarak açılış maçını kazanan takımımız, ikici sınavında favori gösterilen Portekiz karşısına çıktı. Kazanan kadro bozulmaz felsefesine uymayan Montella takımımızda değişikliklere gitti. Defans zaaflarını kapamak için ilk maçın iki kanat oyuncusu Arda Güler ve Kenan Yıldız’ın yerine beklere daha çok yardım edecek Yunus ve Kerem’i tercih etti. Kağıt üstünde doğru görünen önlemde unutulan yardım kadar orijinal bekle de oynamaktı. Sağ kanadımızı felç eden Leao’nun karşısında Mert Müldür olmalıydı.
Sağ kanadımızı rahat kullanan Leao’nun çıkarttığı toplarda birinde defansımız dokunamayınca 22 dakikada 1-0 geriye düştük. Sahadaki oyunumuz bu sonucun altından kalkabileceğimizi gösteriyordu. Kimsenin beklemediği gerçekleşti 28. dakikada Portekizli oyuncular pas hatasından birbirlerine kızarlarken gol olduğunu görüp sevinmeye başladılar. Portekiz’in boş alanda Samet’e attıkları pası Samet, Altay yerine kaleye doğru bırakınca skor şakın bakışlar içinde 2-0 oldu. Bu hata ile düşen motivasyon farkın habercisi oldu.
Milli takım seçiminde ilk olarak transfer bedelleri yerine, sezonda oynadıkları maç sayısı ve form durumları göz önüne alınmayınca kaçınılmaz son gerçekleşti!"
Ali Iskefli,7,2024,Hazır görünmedi,"Bence ülkemiz bu ön elemeleri hak etmiyor. Fenerbahçe’nin rakibine baktık takım değeri 35 milyon Euro, Fenerbahçe 250 milyon Euro. Yine de üç gol yedi, o da aklımızın bir kenarında. Trabzon’un rakibi Ruzomberok’a bakıyoruz takım değeri sadece 6.78 milyon Euro, Trabzonspor ise 94 milyon Euro... Bu rakamlarda bir tutarsızlık yok mu? Hem ülke takımlarımız arasında hem de yabancı takımları arasında. Yerimize göre bu paralar bol keseden mi?
Slovakya’da, Trabzonspor’un 3 yeni transferi ilk 11’deydi. Fakat ilk yarı sahada Trabzon yoktu! Her ne kadar tabela 1-0 olsa da, ilk yarının en iyi oyuncusu yaptığı kurtarışlarla Uğurcan’ın olması durumu anlatıyor. İkinci yarı Abdullah Avcı takıma el atar dedik, takım aynı 11’le çıktı. Golün asistini yapan Visca ikinci yarıda da takımı tek başına ayakta tutan adam konumundaydı. Rakip yaptığı değişiklerle risk alarak gol kovalarken bizim kulübemiz 67. dakikaya kadar bekledi. Atamayana atarlar kuralı işledi, Cihan’ın uzatma dakikalarında attığı 2. gol Trabzon’a tur kapılarını ardına kadar açtı."
Ali Iskefli,7,2024,TFF’yi bekleyip göreceğiz,"TFF’de yeni başkan seçildi. İbrahim Hacıosmanoğlu’dan koltuğu devraldı. Görünen o ki aradaki fark bir elin parmakları kadar. Adaylık için başvuru yapanlar arasında yaşanan yaprak dökümü sonrası elde bu iki aday kalmıştı, bu oy sayıları ‘Aslında birbirimizde farkımız yok’ izlenimi uyandırmıyor mu? Her şekilde tek adayla girilip adayın onandığı seçimden iyidir, demek zorundayız.
Söylentilere bakarsak adayların çoğu yarıştan önce müdahale ile elenmişti, şimdi onlara yakışan cesurca adaylıktan neden çekildikleri konusunda kamuoyunu aydınlatmaktır. TFF tarihinde tüm futbol camiasının bildiği skandallar rekoru kıran Mehmet Büyükekşi’nin neden ve nasıl aday olduğuna aklım ermemişti. Bu oy sayısını gördükten sonra futbolumuzun işinin zor olduğunu bir kez daha ortaya çıktı. Eski başkanın iktidar destekli olmasından yakınanlar, yeni başkanın da iktidardan uzak olmadığını görmüşlerdir.
Yine de peşin hükümlü olmadan yeni başkan İbrahim Hacıosmanoğlu ve ekibinin icraatlarını beklemek zorundayız. Yönetim kuruluna göz attığımızda üç büyükler dışında Sivasspor, Ankaragücü, İstanbulspor, Manisa, Adanaspor ve 1. Lig Kulüpler Birliği’nde görev almış üyeler görüyoruz. Her takıma eşit yaklaşım ve adil olmanın yanında, her sene artacağına azalan yayın, Spor Toto ve iddaa gelirlerini yükseltirlerse ilk dersten geçer not alırlar. Gerisini bekleyip göreceğiz."
Ali Iskefli,7,2024,Futbolun muamması,"EURO 2024’te sona geldik. İspanya ve İngiltere finalde karşılaşacak. Turnuva geneline baktığımızda iki ülkenin de finali hak ettiğini söyleyebiliriz. Bu şampiyona futbolcu itirazını, vakit geçirmeyi önleme konularında hakem tutumları ile örnek oldu. Çipli topun da katılması ile teknoloji sektörün içine işlemeye devam ediyor. Hakem hataları gittikçe azalıyor fakat oyunun heyecanı da gittikçe azalıyor.
Almanya’da milli takımız olmasaydı bizim futbol severlerimizin keyif alacağı maç sayısı bir elin parmaklarını geçmeyecekti. Tüm takımlarda top bende kalsın, oyunu kontrolü bende olsun şekliyle maçlara başlayınca ortaya yavan bir futbol çıktı. Bu turnuvada genel felsefe gol yemeyelim olunca birkaç istisna dışında yavan futbol izledik. Öne çıkan ülkeler sadece takımda yetenekli oyuncusu çok olanlar oldu. Futbol konusunda ülkemizde fikstür çekildi,  takımların hazırlıkları sürüyor fakat ortada bir kaos bizi bekliyor. TFF tam bir muamma... Başkan adayları birer birer düşüyor ve nedense aday olma süresinin tam da sonunda(!) Türk futbol tarihinde bize en çok skandalı yaşatan her konuda başarısız bulunan eski yönetim biraz daha zorlarsa başa geldikleri gibi tek adayla seçime girip onanmayı bekleyecek.
 "
Ali Iskefli,7,2024,Yolunuz final olsun,"Avrupa Futbol Şampiyonası’nda yuvar teker yolumuza devam ediyoruz. İyi futbol oynamasak bile iyi sonuçlar alarak çeyrek finale çıktık, rakip Hollanda’yı beklemeye başladık.
Turnuva başlangıcında Gürcistan galibiyeti ile sevindik. İkinci maçta ilk 11’i ile çok eleştirdiğimiz Portekiz yenilgisi bile eleme fikstüründe önümüzü açan bir etken oldu. İspanya, Almanya, Portekiz ve Fransa’dan biri yerine Hollanda ile oynayıp yarı final için İngiltere veya İsviçre’yi beklemek kulağa çok daha iyi geliyor. Hollanda maçı nasıl biterse bitsin bu turnuvayı alnımızın akı ile tamamlayacağımız bir gerçek.
Takımımıza ağır eleştiriler yapılsa da ülkelerin karakteristik özelliklerinin zaman için de kaybolduğunu izliyoruz. İyi defans yapanlar, hava hakimiyeti yüksek olanlar, uzun topu çok kullananlar yerine artık takımlar risk almadan top bende kalsın, çok koşayım, topu kaybedeceğime geriye ve yana oynayayım düzeninde ta ki skor değişene kadar…
Bu top bende kalsın anlayışı oyunun heyecan düzeyini de düşürdü, artık 22 oyuncuya sahalar dar gelmeye başladı. Çünkü her takım oyunun boyunu kısaltmaya çalışıyor. Farkı yaratan üstün yetenekli oyuncusu fazla olan takımlar. Neyse ki bu tip oyuncu da A Milli Takımımızda fazlasıyla var. Yolunuz final olsun Bizim Çocuklar."
Ali Iskefli,9,2024,Bu kadroya Güneş yetmedi,"Trabzonspor erteleme maçında da kazanamadı. Yeni transferlerin bazıları sahada yoktu. Neyse ki takımın başına yeni gelen Şenol Güneş sahada! Beklenenin aksine Trabzon yerine Kayseri tam saha presle oyuna iyi başladı ve karşılığını ilk 10 dakikada penaltı ile aldı. Takımın kurtarıcısı Uğurcan gole izin vermedi.
Sakatlanan Savic’in yerine orta sahadan Mendy stopere çekildi. Ozan oyuna girdi ama rakibi karşılayan Okay tek başına kalınca Kayseri akın akın geldi ve gol de gecikmedi. Gole karşılık vermek için Trabzon öne çıksa da ilk yarı boyunca direkten dönen Bardhi’nin şutu dışında pozisyon bulamadı. Kayseri Aylton ve Nazon’la sayısız fırsattan yararlanamadı.
Şenol Güneş ikinci yarıya gole yönelik değişikliklerle başladı fakat Kayserispor’un iki forveti durdurulamayınca skor 2-0 oldu. Kayseri 10 kişi kaldıktan sonra Trabzonspor uzatmalarda 1 puanı kurtardı. Ama gözüken şu ki bu kadronun ışık saçması için transfer döneminde 13 oyuncu yerine daha az ama Trabzon kalitesine yakışan oyuncular alınmalıydı."
Ali Iskefli,9,2024,Karar verme VAR’a kaldı,"Ligin 5. haftası geride kaldı fakat futbol bileşenlerimiz henüz yeni sezona hazır değiller. Uzun süren transfer dönemi sonrası birçok takımımızda ilk kez forma giyen oyuncular çoktu. Sonunda takım kadroları belirlendi. Puan cetveline göz attığımızda üst sıraların Avrupa’da mücadele eden takımlarımızdan oluştuğu görülüyor, geride kalan takımlarımız zaten ortalama kadro değerine baktığımızda 5-10 kat arası onların altındalar. Takımlar arasında makas bu kadar açıkken bizi keyifli bir sezon beklemiyor. Daha şimdiden Ligin dibindeki dört takımdan üçü kadro değeri olarak da son sıradalar.
Futbolda rakibinin gücü kadar güçlüsündür. Bu makas kapanmadıkça ligimizi kalitesi yükselmeyecek. En azından lig 16 takıma çekilirse zayıf halka ve maç sayısı azalacak. Avrupa kupalarında eleme yerine gruplu sisteme geçilerek maç sayısını arttırıldı. Bizimkiler durur mu? Türkiye Kupası da grupla oynanacak, üstüne 19 takımlı lig ve milli maçlar birçok oyuncu 60 maçın üstüne çıkacak.
Bu hafta da her zamanki gibi hakemler tartışılıyor. Sahadaki hakemler artık karar vermeyi VAR’a bıraktılar! TFF’de yeni bir sayfa açtıysak, kamuoyunda güvenilirliğini ve özgüvenini kaybetmiş hakemler yerine yeni sezonda genç, yıpranmamış yeni yüzler bekliyoruz. Teknik heyet dışında maç sonunda sıcağı sıcağına basın açıklaması, yorum-analiz yapan yöneticiler bunları bir sonraki güne bırakırlarsa ortaya çıkan hakem kargaşanın azalacağı da kesin. Oyunda herkes hatalarını örtmek içinde bileti hakeme kesmesin."
